Fruit,"Alcohol, ethyl",Caffeine,"Calcium, Ca","Carbohydrate, by difference","Carotene, alpha","Carotene, beta",Cholesterol,"Choline, total","Copper, Cu","Cryptoxanthin, beta",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fatty acids, total trans","Fiber, total dietary","Folate, DFE","Folate, food","Folate, total",Folic acid,"Iron, Fe",Lutein + zeaxanthin,Lycopene,MUFA 16:1,MUFA 18:1,MUFA 20:1,MUFA 22:1,"Magnesium, Mg",Niacin,PUFA 18:2,PUFA 18:3,PUFA 18:4,PUFA 20:4,PUFA 20:5 n-3 (EPA),PUFA 22:5 n-3 (DPA),PUFA 22:6 n-3 (DHA),"Phosphorus, P","Potassium, K",Protein,Retinol,Riboflavin,SFA 10:0,SFA 12:0,SFA 14:0,SFA 16:0,SFA 18:0,SFA 4:0,SFA 6:0,SFA 8:0,"Selenium, Se","Sodium, Na","Sugars, added","Sugars, total including NLEA",Theobromine,Thiamin,Total Sugars,Total lipid (fat),Vitamin A,"Vitamin A, IU","Vitamin A, RAE",Vitamin B-12,"Vitamin B-12, added",Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin D (D2 + D3),"Vitamin D (D2 + D3), International Units",Vitamin E (alpha-tocopherol),"Vitamin E, added",Vitamin K (phylloquinone),Water,"Zinc, Zn",image_filename,,imageurl
orange,0,0,0,90.5 G,0,0,0,0,0,0,381 KCAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76 G,0,0,0,0,0,0,0,0,0,0,0,381 MG,0,0,0,0,90.5 G,0.0 G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,orange,,https://firebasestorage.googleapis.com/v0/b/sugarfree-df710.appspot.com/o/orange.png?alt=media&token=aa603564-e6d8-4ed4-aeaa-013c93c22ba5
papaya,0,0,150 MG,65.0 G,0,0,0.0 MG,0,0,0,250 KCAL,0,0,0.0 G,0.0 G,10.0 G,0,0,0,0,0.0 MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5 G,0,0,0,0,0,0,0,0,0,0,0,18.0 MG,0,0,0,0,40.0 G,0.0 G,180 UG,0,0,0,0,0,6.0 MG,0,0,0,0,0,0,0,papaya,,https://firebasestorage.googleapis.com/v0/b/sugarfree-df710.appspot.com/o/papaya.png?alt=media&token=c005b512-8438-4a0c-b404-6dbf2bdb64de
peach,0,0,22.0 MG,53.3 G,0,0,67.0 MG,0,0,0,411 KCAL,0,0,4.44 G,0.0 G,2.2 G,0,0,36.0 UG,0,1.6 MG,0,0,0,0,0,0,0,1.78 MG,0,0,0,0,0,0,0,0,0,4.44 G,0,0.151 MG,0,0,0,0,0,0,0,0,0,344 MG,0,0,0,0.0 MG,28.9 G,22.2 G,0,222 IU,0,0,0,0,5.3 MG,0,0,0,0,0,0,0,peach,,https://firebasestorage.googleapis.com/v0/b/sugarfree-df710.appspot.com/o/peach.png?alt=media&token=bf6d61f4-03b2-4ee2-b9de-64ce5054ad3e
pear,0.0 G,0.0 MG,9.0 MG,15.2 G,1.0 UG,12.0 UG,0.0 MG,5.1 MG,0.077 MG,2.0 UG,59.0 KCAL,0.084 G,0.094 G,0.022 G,0,3.1 G,7.0 UG,7.0 UG,7.0 UG,0.0 UG,0.18 MG,46.0 UG,0.0 UG,0.002 G,0.081 G,0.001 G,0.0 G,7.0 MG,0.162 MG,0.093 G,0.001 G,0.0 G,0.0 G,0.0 G,0.0 G,0.0 G,11.0 MG,104 MG,0.37 G,0.0 UG,0.026 MG,0.0 G,0.0 G,0.0 G,0.017 G,0.003 G,0.0 G,0.0 G,0.0 G,0.1 UG,3.0 MG,0,9.73 G,0.0 MG,0.012 MG,0,0.15 G,0,0,1.0 UG,0.0 UG,0.0 UG,0.028 MG,4.3 MG,0.0 UG,0,0.12 MG,0.0 MG,4.2 UG,84.0 G,0.09 MG,pear,,https://firebasestorage.googleapis.com/v0/b/sugarfree-df710.appspot.com/o/pear.png?alt=media&token=c8726608-b4dc-4b25-a5f4-52ff87274bcd
pineapple,0,0,36.0 MG,78.6 G,0,0,0.0 MG,0,0,0,0,0,0,0.0 G,0.0 G,4.3 G,0,0,0,0,0.64 MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0 G,0,0,0,0,0,0,0,0,0,0,0,18.0 MG,0,0,0,0,64.3 G,0.0 G,0,0.0 IU,0,0,0,0,0.0 MG,0,0,0,0,0,0,0,pineapple,,https://firebasestorage.googleapis.com/v0/b/sugarfree-df710.appspot.com/o/pinapple.jpeg?alt=media&token=589d6381-b6f3-4ee4-8dd9-a8fc3181bd46
plum,0.0 G,0.0 MG,5.0 MG,13.5 G,0.0 UG,121 UG,0.0 MG,1.4 MG,0.041 MG,22.0 UG,55.0 KCAL,0.1 G,0.033 G,0.013 G,0,1.0 G,2.0 UG,2.0 UG,2.0 UG,0.0 UG,0.13 MG,47.0 UG,0.0 UG,0.002 G,0.099 G,0.0 G,0.0 G,5.0 MG,0.281 MG,0.033 G,0.0 G,0.0 G,0.0 G,0.0 G,0.0 G,0.0 G,12.0 MG,106 MG,0.52 G,0.0 UG,0.019 MG,0.0 G,0.0 G,0.0 G,0.01 G,0.002 G,0.0 G,0.0 G,0.0 G,0.0 UG,1.0 MG,0,12.4 G,0.0 MG,0.017 MG,0,0.23 G,0,0,11.0 UG,0.0 UG,0.0 UG,0.021 MG,5.7 MG,0.0 UG,0,0.2 MG,0.0 MG,4.8 UG,85.4 G,0.08 MG,plum,,https://firebasestorage.googleapis.com/v0/b/sugarfree-df710.appspot.com/o/plum.png?alt=media&token=cd5a654f-868a-4cf6-a8ba-065d1a415d89
pomegranate,0,0,8.0 MG,12.1 G,0,0,0.0 MG,0,0,0,48.0 KCAL,0,0,0.0 G,0,0.0 G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0 G,0,0,0,0,0,0,0,0,0,0,0,15.0 MG,0,0,0,0,12.1 G,0.0 G,0,0.0 IU,0,0,0,0,6.2 MG,0,0,0,0,0,0,0,pomegranate,,https://firebasestorage.googleapis.com/v0/b/sugarfree-df710.appspot.com/o/pomegranate.png?alt=media&token=7c39916e-9584-4fcd-9867-1ec040cc317a
raspberry,0,0,0,13.3 G,0,0,0,0,0,0,54.0 KCAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129 MG,0.0 G,0,0,0,0,0,0,0,0,0,0,0,8.0 MG,0,0,0,0,12.9 G,0.0 G,0,0,0,0,0,0,0.5 MG,0,0,0,0,0,0,0,raspberry,,https://firebasestorage.googleapis.com/v0/b/sugarfree-df710.appspot.com/o/raspberry.png?alt=media&token=06b8cf72-3f65-4ceb-8f29-a64d4eb2fe4e
strawberry,0,0,0.0 MG,21.2 G,0,0,0.0 MG,0,0,0,85.0 KCAL,0,0,0.0 G,0,0.0 G,0,0,0,0,0.0 MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85 G,0,0,0,0,0,0,0,0,0,0,0,0.0 MG,0,0,0,0,17.0 G,0.0 G,0,0.0 IU,0,0,0,0,0.0 MG,0,0,0,0,0,0,0,strawberry,,https://firebasestorage.googleapis.com/v0/b/sugarfree-df710.appspot.com/o/strawberry.png?alt=media&token=e97b5b83-1bb0-4514-92f3-6cf85910456f
watermelon,0,0,0,7.45 G,0,0,0.0 MG,0,0,0,31.0 KCAL,0,0,0.0 G,0.0 G,0.4 G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78 G,0,0,0,0,0,0,0,0,0,0,0,0.0 MG,0,0,0,0,6.27 G,0.25 G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,watermalon,,https://firebasestorage.googleapis.com/v0/b/sugarfree-df710.appspot.com/o/watermelon.png?alt=media&token=91b046b9-38ef-45df-85bd-8deac43c9894
